Resumen;Class
As a Carequality implementer, I want CONNECT to leverage the Carequality framework so I can exchange with other Carequality participants;1
As an animal, I want CONNECT to leverage the Carequality framework so I can exchange with other Carequality participants;0
As a CONNECT Adapter, I want to be able to respond to requests and receive responses to requests asynchronously in addition to synchronously;1
As a CONNECT administrator or security officer, I want to view audit events via the System Admninistration module so that I can monitor the audit logs and events;1
As a cat, I want to view audit events via the System Admninistration module so that I can monitor the audit logs and events;0
As a CONNECT administrator, I want CONNECT to push audits and events via web services;1
As a dog, I want CONNECT to push audits and events via web services;0
As a CONNECT administrator, I want the ability to logout of the admin GUI application ;1
As a CONNECT adopter (VA), I want CONNECT to be upgraded to the latest version of Hibernate so that my implementation is compliant with VA requirements and for security reasons;1
As a fish, I want CONNECT to be upgraded to the latest version of Hibernate so that my implementation is compliant with VA requirements and for security reasons;0
As a CONNECT adopter certifying for Meaningful Use Stage 2, I want CONNECT 4.x to pass validation using the NIST tool so that my implementation can be validated for MU;1
As a table, I want CONNECT 4.x to pass validation using the NIST tool so that my implementation can be validated for MU;0
As a CONNECT adopter e.g. CMS-CCSQ and VA, I want CONNECT to  be implemented using Java 1.6 on WL 11g so that  I could use CONNECT in my preferred environment;1
As a shair, I want CONNECT to  be implemented using Java 1.6 on WL 11g so that  I could use CONNECT in my preferred environment;0
As a CONNECT adopter e.g. CMS-OFM and SSA, I want CONNECT to  be implemented using Java 1.6 on WAS 7 so that  I could use CONNECT in my WAS 7 environment;1
As a CONNECT Adopter I have a requirement to remove the reliance on the existence of the environment variable NHINC_PROPERTIES_DIR and to be able to find the CONNECT configuration files at run time using an instance-specific system variable.;1
As a printer I have a requirement to remove the reliance on the existence of the environment variable NHINC_PROPERTIES_DIR and to be able to find the CONNECT configuration files at run time using an instance-specific system variable.;0
As a CONNECT Adopter I need a method of supporting higher volumes with multiple instances of the CONNECT gateway working together (User Story: U0002 & CLONE of GW438);1
As a cow I need a method of supporting higher volumes with multiple instances of the CONNECT gateway working together (User Story: U0002 & CLONE of GW438);0
As a CONNECT Adopter I need a type of redaction engine for document query and document retrieve. This would be a process of removing data from the response message. ;1
As a CONNECT Adopter I need a way to increase gateway performance for PD & QD requests by removing current limitation for serial request handling for same patient to multiple communities. (User Story: U0006 & GW442);1
As a parrot I need a way to increase gateway performance for PD & QD requests by removing current limitation for serial request handling for same patient to multiple communities. (User Story: U0006 & GW442);0
As a CONNECT Adopter I need CONNECT to be database independent and support different databases such as Oracle.;1
As a computer I need CONNECT to be database independent and support different databases such as Oracle.;0
As a CONNECT Adopter I need CONNECT to provide support for both Online Certificate Status Profile (OCSP) and Certificate Revocation List (CRL) with validation.;1
As a CONNECT Adopter I need the ability to have both secure and unsecure interfaces on the Adapter side to increase my flexibility with implementing Adapters and interfacing with down stream systems.;1
As a CONNECT adopter I want installation instructions on how to configure and deploy CONNECT 4.x to be FIPS 140-2 compliant on a WebLogic 11g app server so that I can install CONNECT in my secure environment;1
As a chicken I want installation instructions on how to configure and deploy CONNECT 4.x to be FIPS 140-2 compliant on a WebLogic 11g app server so that I can install CONNECT in my secure environment;0
